광고 소재 이름,광고 소재 ID,광고 그룹 이름,광고 그룹 ID,캠페인 이름,캠페인 ID,기간,총비용,시작일,종료일,노출수,클릭수,평균 CPC,클릭률(%)
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.30.,3743,2026.02.27.,진행 중,2554,8,468,0.31
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.29.,27052,2026.02.27.,진행 중,9066,48,564,0.53
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.26.,30067,2026.02.27.,진행 중,7345,37,813,0.50
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.25.,74865,2026.02.27.,진행 중,15062,128,585,0.85
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.24.,47900,2026.02.27.,진행 중,14037,84,570,0.60
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.23.,77331,2026.02.27.,진행 중,24546,118,655,0.48
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.22.,92780,2026.02.27.,진행 중,19246,113,821,0.59
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.19.,97032,2026.02.27.,진행 중,15544,130,746,0.84
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.18.,73238,2026.02.27.,진행 중,9001,85,862,0.94
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.17.,70896,2026.02.27.,진행 중,21017,98,723,0.47
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.16.,31753,2026.02.27.,진행 중,11502,41,774,0.36
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.15.,26335,2026.02.27.,진행 중,6446,36,732,0.56
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.12.,63097,2026.02.27.,진행 중,10216,72,876,0.70
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.11.,54709,2026.02.27.,진행 중,11472,95,576,0.83
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.10.,26394,2026.02.27.,진행 중,8555,33,800,0.39
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.09.,38039,2026.02.27.,진행 중,11085,48,792,0.43
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.08.,16805,2026.02.27.,진행 중,10587,20,840,0.19
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.05.,26117,2026.02.27.,진행 중,4997,22,1187,0.44
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.04.,16884,2026.02.27.,진행 중,4915,20,844,0.41
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.03.,22523,2026.02.27.,진행 중,5063,26,866,0.51
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.02.,11030,2026.02.27.,진행 중,5030,14,788,0.28
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.06.01.,9653,2026.02.27.,진행 중,3777,15,644,0.40
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.05.29.,12140,2026.02.27.,진행 중,4013,11,1104,0.27
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.05.28.,35027,2026.02.27.,진행 중,9888,28,1251,0.28
이미지배너_1250*560_nim001,35629477,웹사이트전환,4080230,에이스법률사무소,1243917,2026.05.27.,26261,2026.02.27.,진행 중,10790,27,973,0.25
